Club,Ball,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Dynamic Lie,Impact Offset,Impact Height,Curve
,,[mph],[deg],[deg],[in],[deg],[deg],[deg],[deg],[deg],[mph],[],[deg],[deg],[rpm],[deg],[ft],[ft],[ft],[yds],[yds],[yds],[s],[yds],[yds],[deg],[mph],[s],[yds],[yds],[deg],[mm],[mm],[ft]
Driver,Premium,87.85343593,0.775,2.541,-0.826771654,54.771,3.089,10.886,-3.002,-5.543,127.4977631,1.4512,9.669,-2.319,1760,-19.36,289.5784253,30.77717984,-23.11746849,5.504279054,-0.233479592,0.929521245,0.0904192,165.5427873,-18.4510903,18.14669052,72.29461445,3.73667,211.1884376,-26.94829178,,,,-35.33800773
Driver,Premium,93.90882248,1.123,1.535,-1.220472441,53.859,2.356,9.287,0.747,-0.788,133.3395222,1.4199,8.28,0.846,1340,-3.555,289.048673,26.06095367,2.445418372,5.355889518,0.077460768,0.772478574,0.083712,166.3948192,0.609679459,15.34821803,78.7016999,3.46965,219.5067402,0.196844595,,,,-5.541544559
Driver,Premium,94.77451682,,,,51.358,1.175,,,,139.4861757,1.4718,14.121,-0.993,3663,,445.6883027,104.0340739,-7.513950038,5.344851075,-0.092670126,1.369815872,0.0818658,221.2482016,-3.836037506,44.00031097,60.14810943,6.75169,235.6025707,-4.084941913,,,,
Driver,Premium,94.3293665,,,,52.158,-2.023,,,,134.1003042,1.4216,14.53,-2.278,3060,,421.9564303,89.19039606,-16.39646381,5.457095111,-0.216955235,1.430716826,0.0870751,216.0679039,-8.590043774,39.48587065,60.07020526,6.30518,235.0102209,-9.343194603,,,,
Driver,Premium,92.26691124,0.477,0.671,-0.511811024,55.176,1.003,12.803,-7.837,-8.507,133.1046439,1.4426,11.32,-6.778,2390,-23.744,359.1580779,49.69059711,-68.19969775,5.298115445,-0.639774527,1.060338118,0.0838656,195.425133,-48.00254026,25.67797516,64.53268171,4.81192,228.5802886,-60.62426861,,,,-75.9272069
Driver,Premium,91.28489621,-0.658,0.712,0.708661417,54.863,0.249,10.957,-8.625,-9.337,124.2045455,1.3606,9.478,-7.404,2350,-27.267,283.8783064,30.41432014,-54.85698777,5.574818303,-0.73663822,0.924083109,0.0940544,159.7805098,-39.20256326,18.97517724,67.28304994,3.81075,200.2672811,-54.22366863,,,,-56.74490846
Driver,Premium,91.68754474,-2.716,0.483,2.834645669,55.552,-1.382,14.744,-4.715,-5.198,129.7414102,1.415,11.915,-3.841,3805,-10.745,387.8659276,72.46676477,-46.69715306,5.568530712,-0.383805166,1.192667981,0.0909312,196.3615869,-30.38650685,37.21351173,56.68678622,5.82815,214.295978,-34.56173207,,,,-51.96856183
Driver,Premium,92.04098067,0.504,2.657,-0.551181102,54.131,3.022,13.033,-3.872,-6.529,136.2951861,1.4808,11.561,-3.08,2250,-18.377,382.3908608,54.98571027,-42.67989771,5.583648861,-0.312199169,1.143415083,0.0864256,206.9037462,-32.10576803,26.92738075,65.12056186,5.05627,239.7785414,-40.68140344,,,,-63.23116679
Driver,Premium,92.37204724,-1.216,3.548,1.299212598,55.216,2.703,17.886,2.923,-0.625,137.0769953,1.484,15.654,3,3040,-1.182,440.4608158,101.6507454,19.79521834,5.412286858,0.28220795,1.535292509,0.0849408,223.8940478,9.520644965,42.05669676,61.36481218,6.63027,241.1166441,10.1147707,,,,-6.598539107
Driver,Premium,91.54661775,0.333,3.8,-0.354330709,55.602,4.028,14.141,-0.077,-3.877,130.1429402,1.4216,12.451,0.414,2270,-10.128,367.571638,56.49806028,-9.417076757,5.20881191,0.031482,1.150712874,0.0846848,199.4182597,-9.884817327,28.21810202,63.6246346,5.09143,230.356641,-13.19353784,,,,-33.97111393
Driver,Premium,93.46143522,1.394,2.218,-1.496062992,55.004,3.194,15.037,-5.128,-7.346,139.5342699,1.4929,13.394,-4.205,2593,-18.801,424.6342777,76.19960323,-62.48733672,5.493343427,-0.416658042,1.316246487,0.083712,222.976339,-44.85873375,33.77915457,62.36753979,5.87238,247.769963,-52.9663583,,,,-86.16742509
Driver,Premium,92.67179671,-0.805,4.459,0.905511811,54.079,3.876,17.057,1.584,-2.875,139.4130279,1.5044,15.053,1.924,2812,-5.803,448.2230239,96.91533348,2.343710715,5.025351336,0.164620774,1.365834475,0.0772096,229.7469537,-2.790372909,39.9904128,61.90395048,6.52699,249.2455822,-3.798898584,,,,-31.50514412
Driver,Premium,93.43459198,-2.321,0.638,2.480314961,54.925,-0.992,17.227,3.742,3.104,137.1848157,1.4682,14.922,3.356,3180,5.734,437.8619156,98.24841583,37.88717804,5.435144164,0.323300614,1.467955348,0.0849408,221.8089224,23.66142529,41.62660977,60.63401742,6.56563,238.9497383,26.17181122,,,,32.13089064
Driver,Premium,94.21528275,-2.013,1.674,2.244094488,53.444,0.18,17.729,0.463,-1.211,137.5055923,1.4595,15.359,0.617,3243,-2.217,441.3348921,103.3541974,-0.582912383,5.170330856,0.053819715,1.439702767,0.0807424,222.5096335,-1.86741483,42.95933267,60.96575972,6.68908,238.5526352,-2.247626041,,,,-12.78993369
Driver,Premium,93.7746063,-0.169,0.512,0.196850394,53.42,0.386,16.705,-1.837,-2.348,139.8805476,1.4917,14.928,-1.577,2493,-5.023,446.0051429,91.12602691,-21.57330919,5.494190815,-0.15506329,1.476675418,0.0841216,232.2377588,-14.7633953,37.60473675,63.08663122,6.32457,254.7954288,-16.93277184,,,,-25.13838693
Driver,Premium,96.26655333,-0.132,1.681,0.157480315,53.61,1.583,17.56,-3.156,-4.836,139.5886274,1.45,15.507,-2.563,2953,-9.759,449.2400763,101.7034429,-41.27639841,5.561433249,-0.257402072,1.561550249,0.0856576,228.8819362,-28.50428788,41.41316109,61.82148957,6.64092,246.8766452,-31.95117571,,,,-54.96102463
Driver,Premium,95.15032212,0.528,2.482,-0.551181102,54.925,2.853,19.143,2.304,-0.179,140.4536507,1.4761,16.233,2.333,4059,-0.344,447.0308559,124.6993034,16.49342565,5.453558584,0.221657866,1.619768532,0.0838656,218.5854577,8.141862175,48.91436999,62.33277113,7.12456,228.9138315,8.502904701,,,,-2.270193864
Driver,Premium,97.36041518,-0.453,1.5,0.472440945,55.256,1.186,17.739,-1.815,-3.315,138.550689,1.4231,15.523,-1.389,3100,-6.544,446.0208122,103.4260191,-25.57353255,5.320043095,-0.134485587,1.496807453,0.0825344,225.8762096,-17.96221085,42.40773375,61.43050102,6.68911,242.7083879,-20.05897663,,,,-37.49693149
Driver,Premium,95.58205082,-0.03,3.013,0.039370079,54.986,2.992,18.932,0.242,-2.77,140.398622,1.4689,16.697,0.59,3150,-5.227,457.9933046,116.2709138,-8.476773038,5.573171896,0.052259185,1.695291543,0.0859136,229.9391188,-8.290783269,45.0712734,62.72857669,6.98215,244.7582001,-9.346760596,,,,-31.96964137
Driver,Premium,95.92430208,,,,56.541,2.714,,,,131.4513243,1.3704,17.53,-2.216,3710,,412.024125,112.1769473,-15.3300993,5.246842266,-0.202882683,1.680436076,0.0867872,206.1935245,-7.972959216,46.72487772,60.98091048,6.74982,218.5104579,-8.449267722,,,,
Driver,Premium,96.43656049,-0.911,0.979,1.023622047,52.102,0.27,18.991,-0.944,-1.924,139.5085451,1.4466,16.613,-0.7,3310,-3.468,452.7898473,116.6846782,-14.15667318,5.409418772,-0.069330602,1.637847585,0.0838656,226.282311,-9.885464874,45.71591815,62.37958019,6.984,240.2645789,-10.82259056,,,,-21.36862565
Driver,Premium,94.40989621,2.332,2.409,-2.440944882,56.658,3.944,23.428,-8.496,-10.904,120.0556997,1.2716,20.759,-6.971,3599,-17.416,356.4722206,102.7900257,-73.10241362,5.455618203,-0.681095981,2.082077687,0.100915,183.5591095,-49.16569153,45.66637049,59.80328995,6.28271,196.5382528,-53.96342519,,,,-82.01471391
Driver,Premium,92.50402649,-1.313,4.204,1.377952756,55.199,3.292,17.297,-1.895,-6.099,125.1418218,1.3528,14.923,-1.073,3110,-11.683,373.2042988,76.05382775,-26.18909722,5.544463669,-0.114694189,1.488635467,0.0950272,194.9694227,-20.55895315,37.0201912,58.59525697,5.79191,214.6801724,-24.15845158,,,,-50.77394822
Driver,Premium,92.62482105,-2.54,-0.05,2.598425197,56.112,-1.757,17.827,3.793,3.843,135.4601378,1.4625,15.425,3.313,3290,6.791,429.9144795,100.0261297,39.46734376,5.121088963,0.301461258,1.431343629,0.0812032,217.4952541,25.17794628,42.50696945,60.45848025,6.57558,233.6813854,27.80625112,,,,37.95360911
Driver,Premium,93.40774875,-0.735,1.321,0.826771654,52.904,0.765,18.363,3.268,1.947,137.2543844,1.4694,16.115,3.025,3080,3.665,442.1328747,105.5909603,31.01343652,5.537813937,0.29566729,1.62040186,0.08704,224.1378589,18.76495888,43.01318733,61.656892,6.71569,240.5634291,20.54496371,,,,20.85661397
Driver,Premium,86.37929492,0.032,0.159,-0.039370079,53.263,0.183,18.476,-1.092,-1.252,123.3918665,1.4285,16.237,-0.931,2750,-2.437,370.5495799,78.59417887,-9.614748607,5.345058834,-0.088864552,1.563827983,0.09344,196.0520289,-6.52568541,37.15371047,59.8967246,5.80371,216.8019328,-7.526364973,,,,-10.02323051
Driver,Premium,86.91168576,-1.213,-2.228,1.299212598,53.986,-3.11,17.87,0.626,2.855,128.6151127,1.4799,15.651,0.275,2867,5.383,395.6697119,84.41243178,11.31011974,5.349192728,0.030109834,1.509845191,0.0894464,206.3434767,9.24724173,38.33699342,60.17207075,6.05806,226.562163,10.85755526,,,,24.77326934
Driver,Premium,89.16651754,,,,55.37,-1.348,,,,124.1432534,1.3922,14.058,-4.105,2830,,365.4916268,67.75151057,-25.71247114,5.326719451,-0.38134613,1.340679755,0.0915653,193.3613869,-13.84291053,34.05274098,59.17686518,5.53828,216.1882422,-15.47709553,,,,
Driver,Premium,89.11730494,-0.755,1.155,0.826771654,53.3,0.592,11.376,-7.573,-8.728,122.9158465,1.3792,9.852,-6.446,2300,-24.751,284.7409186,31.67803282,-48.72669724,5.285795507,-0.608271854,0.911741336,0.0901632,160.381889,-35.09097962,19.59160796,66.77976402,3.8719,200.1557478,-48.33270475,,,,-51.8995517
Driver,Premium,88.10173586,-3.35,-0.447,3.661417323,53.064,-2.969,18.139,-1.878,-1.431,121.5803955,1.38,15.453,-1.689,3250,-2.408,361.5751292,77.14447545,-14.39313421,5.452268565,-0.162961808,1.519514316,0.0964608,188.433709,-8.991391618,38.29945788,57.85973053,5.79761,206.6796688,-10.14492266,,,,-10.31955614
Driver,Premium,90.82408733,-0.847,1.707,0.905511811,54.328,1.099,17.61,-0.381,-2.088,130.3919112,1.4356,15.385,-0.115,2900,-4.078,404.4975821,86.20353758,-8.286641221,5.146986503,-0.01345604,1.427959962,0.084736,209.9004275,-6.904325698,38.68425721,60.25668204,6.14153,229.8155463,-8.093125284,,,,-19.44972867
Driver,Premium,89.07480315,-1.587,3.164,1.653543307,54.507,2.032,12.512,-0.148,-3.312,132.7165354,1.4899,9.892,0.483,3547,-8.559,395.3256632,61.87344651,-12.93446509,5.064761965,0.036139583,0.897195342,0.080128,200.6558123,-11.63101747,33.05499896,56.91420972,5.60788,221.9511538,-14.221144,,,,-39.95776986
Driver,Premium,91.39226915,-2.577,-0.328,2.716535433,55.01,-2.133,17.853,6.17,6.498,133.3562992,1.4592,15.446,5.357,3350,11.346,416.7054394,95.68334401,62.12004456,5.14842688,0.490024836,1.439600469,0.082944,211.8016462,39.92258985,41.78238822,59.85364883,6.42732,228.2735225,44.30543953,,,,60.98588849
Driver,Premium,92.94022906,-2.24,-1.863,2.480314961,52.121,-3.607,13.025,-0.799,1.064,137.1107731,1.4753,11.223,-0.928,2460,2.557,406.3777473,60.8760358,-2.671629943,5.466153406,-0.086770083,1.090783987,0.0840192,214.8189438,-0.042170014,29.44679929,62.68447693,5.43946,243.9314334,0.422199464,,,,10.31109524
Driver,Premium,92.59350394,-0.609,-2.681,0.62992126,54.969,-3.108,16.788,-3.395,-0.715,135.8059681,1.4667,14.729,-3.307,2780,-1.487,429.1528416,88.77166797,-27.10910912,5.171263264,-0.299368499,1.372040572,0.0814592,221.8013101,-15.28272862,38.36171147,61.23733418,6.27957,242.5574827,-16.91899,,,,-7.478574649
Driver,Premium,91.84860415,-2.242,0.741,2.362204724,54.096,-0.883,11.35,-6.81,-7.552,128.0860773,1.3945,9.656,-5.844,2470,-19.636,325.4934496,38.03909351,-51.40859136,5.31328691,-0.55338744,0.903048425,0.0869376,178.2299857,-35.83775183,22.03235051,64.51777415,4.3559,214.282253,-46.90398786,,,,-53.62415429
Driver,Premium,90.28274875,-2.815,1.25,2.913385827,56.382,-0.624,23.808,5.627,4.378,122.3559413,1.3552,19.958,4.93,4741,5.78,359.8865749,112.8255598,42.0859818,5.373497667,0.469297331,1.983151399,0.0971264,179.5442058,25.45549557,49.76217162,59.99427227,6.52529,187.9626158,26.92777227,,,,30.26222825
Driver,Premium,93.68512885,-3,-2.015,3.228346457,53.489,-4.239,10.449,-7.429,-5.413,128.8924928,1.3758,8.748,-6.729,2350,-14.531,320.4705897,33.81895547,-50.06567157,5.452216515,-0.648154305,0.837910833,0.0884224,176.0486375,-32.81810665,20.05679583,66.16550765,4.18099,215.1143161,-42.98733782,,,,-36.97622677
Driver,Premium,88.86900501,-2.131,0.496,2.244094488,56.33,-0.925,22.889,-2.039,-2.535,120.7560845,1.3588,19.745,-1.69,3790,-3.581,363.4239808,104.7004774,-17.38356732,5.267607059,-0.159163803,1.909986678,0.0962048,184.8195235,-11.30141577,46.71997253,59.68564651,6.39102,196.7740328,-12.28469815,,,,-17.56812503
Driver,Premium,88.97861489,-1.505,0.419,1.57480315,53.467,-0.696,17.497,-3.73,-4.15,126.9593325,1.4268,15.289,-3.221,2851,-7.845,384.3897722,78.83617002,-34.02392137,5.476145237,-0.31440073,1.506588336,0.0926208,201.6812814,-22.70619341,36.95676427,59.81453248,5.87794,222.3878876,-26.07806731,,,,-34.23123962
Driver,Premium,87.69237652,-4.754,-1.233,5,55.619,-4.495,18.316,1.379,2.612,125.2189961,1.4279,15.543,1.045,3470,4.091,379.8028991,85.76544919,14.51205712,5.424612831,0.10292461,1.525753161,0.0932352,194.9090125,10.06173733,40.71896996,58.20103432,6.08505,211.0908744,11.33607315,,,,19.53034612
Driver,Premium,95.79232283,-1.975,-2.002,2.165354331,52.518,-3.518,18.077,-1.821,0.181,134.1994005,1.401,15.601,-1.844,3300,0.327,425.5610689,100.0308009,-12.5811254,5.343546091,-0.171691308,1.511737262,0.0856576,215.3598148,-6.329010935,42.74096644,60.37195751,6.5639,231.3340294,-6.762990555,,,,1.803568491
Driver,Premium,93.53078024,-3.481,-2.835,3.779527559,52.934,-5.468,18.109,2.402,5.236,137.0593236,1.4654,15.577,1.749,3550,8.703,435.2859938,106.6306667,34.14812855,5.474835093,0.175582961,1.550080476,0.0859648,217.8048191,23.79489876,44.42491519,60.66871782,6.73774,232.0866224,26.2175215,,,,51.52790208
Driver,Premium,96.19497137,-0.651,-1.258,0.708661417,52.834,-1.751,20.837,-0.376,0.882,136.4938261,1.4189,18.227,-0.492,3540,1.462,438.0479948,125.0281365,0.182287328,5.361880381,-0.044559622,1.790847719,0.08576,217.5739744,1.150677329,48.29160091,63.02688151,7.07562,229.2543783,1.320987797,,,,9.056693606
Driver,Premium,77.35996779,6.076,13.942,-6.692913386,54.569,18.286,16.119,11.996,-1.947,115.1802971,1.4889,14.934,12.233,1380,-6.896,281.6564955,44.83401266,55.2237705,5.59822291,1.182265488,1.474679304,0.103936,163.4828737,30.77815629,24.6916239,68.80905685,4.13722,202.1966002,37.17400539,,,,-11.82383552
Driver,Premium,83.77326414,7.538,14.527,-7.874015748,55.28,19.788,10.172,4.545,-9.982,126.4915891,1.5099,9.88,5.712,1490,-65.973,189.5540968,18.03638595,6.693202365,5.413623682,0.512640105,0.91570994,0.0896,116.3773077,-2.652365695,13.49360136,86.12895063,2.35184,175.5430412,-11.78751225,,,,-42.6570171
Driver,Premium,,,,,,,,,,134.2291518,,13.671,10.228,2177,,400.1101296,69.04704552,69.97751044,5.599226495,0.994197488,1.365180772,0.0887808,215.0227274,38.17923594,31.48912736,64.17526291,5.53952,244.2626659,43.37137161,,,,
Driver,Premium,86.3904796,5.257,13.779,-4.881889764,62.619,16.511,9.816,8.161,-5.618,129.5387437,1.4995,8.536,9.761,2615,-38.006,280.4479574,27.07467178,21.95288252,5.522551235,0.911704589,0.822925932,0.089088,157.3647977,0.858156403,17.37045455,69.10590675,3.59995,199.6508992,-6.852954139,,,,-77.49988617
Driver,Premium,98.25742663,-2.486,4.031,2.874015748,52.247,2.104,17.438,8.464,4.433,132.3179134,1.3467,14.893,7.866,3429,8.004,412.0069289,92.46060916,71.89028243,5.106199544,0.705360784,1.375454848,0.082688,209.0862753,42.58326487,41.40919366,59.25801198,6.35807,225.5794441,46.8421301,,,,42.50240178
Driver,Premium,96.34931997,,,,,,,,,142.0892985,1.4747,12.378,2.216,5185,,435.3058682,109.3306186,16.29117053,4.996036601,0.193166272,1.133646351,0.0745472,210.2524984,8.129181203,47.52323076,59.16636931,6.82221,219.450663,8.484807781,,,,
Driver,Premium,97.0539549,-6.704,2.727,7.834645669,52.583,-2.431,10.52,3.188,0.461,135.3084735,1.3942,8.37,3.129,2890,0.987,387.9627218,46.97640533,22.51670057,5.230727322,0.286223912,0.77767491,0.0807424,201.4338129,12.28344866,26.04281622,60.45440136,5.08265,231.2159472,14.29785523,,,,3.871477464
Driver,Premium,98.77863278,-2.723,2.775,3.267716535,51.427,0.601,10.934,-8.19,-10.965,135.7091088,1.3739,9.219,-6.773,2980,-27.279,364.5269139,44.72049405,-77.92551028,5.515970905,-0.670610043,0.899894863,0.0851456,192.7189,-54.527032,24.87681321,61.75115865,4.78581,223.5727713,-68.78280379,,,,-97.04012235
Driver,Premium,96.80341804,-2.488,5.664,3.031496063,50.342,3.6,20.266,8.073,2.409,126.8318271,1.3102,17.281,7.734,3780,3.788,389.0076334,102.0435118,58.61142605,5.526916014,0.747861993,1.742468422,0.09472,196.4973669,33.01757593,45.21015801,59.48045634,6.46314,209.5553039,35.52515528,,,,19.94919288
Driver,Premium,96.79670723,-3.321,4.727,4.251968504,47.074,1.633,12.457,6.44,1.713,136.531854,1.4105,10.507,6.222,2660,3.984,404.253832,58.57546477,49.56187627,5.573437115,0.607045884,1.041820627,0.0858624,211.7417845,28.41264475,29.30978183,61.36949692,5.42356,239.8655937,32.92085978,,,,16.51205689
Driver,Premium,95.83482462,-1.535,4.017,1.929133858,48.484,2.658,14.099,-1.764,-5.781,141.3034628,1.4744,12.256,-1.057,2760,-13.268,438.1317479,76.21983845,-33.08145706,5.576252938,-0.113342205,1.223596557,0.0835584,226.5228415,-25.92850073,34.25950218,61.30570672,5.99972,250.2462536,-30.86231414,,,,-65.31860174
Driver,Premium,86.79312813,6.562,15.244,-6.811023622,55.802,19.728,9.561,5.684,-9.56,132.1622226,1.5227,9.016,7.489,2445,-62.767,212.5313526,19.19212034,8.258638989,5.549709605,0.689524102,0.860874867,0.087808,126.5392887,-5.423693128,13.94361497,81.12949905,2.59072,180.0145876,-18.18409717,,,,-65.56463182
